City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,beloyarskiy,63.7119,66.6722,8.45,78,69,2.08,RU,1693164552
67,bredasdorp,-34.5322,20.0403,9.16,84,0,1.37,ZA,1693164553
68,greymouth,-42.4667,171.2,2.58,84,0,3.53,NZ,1693164553
69,vorgashor,67.5833,63.95,5.4,93,94,3.34,RU,1693164553
70,kapuskasing,49.4169,-82.4331,21.0,40,20,2.06,CA,1693164553
71,boguchany,58.3814,97.4531,12.03,74,91,1.49,RU,1693164553
72,carutapera,-1.195,-46.02,29.12,64,71,4.55,BR,1693164553
73,tibagi,-24.5094,-50.4136,15.64,70,100,3.05,BR,1693164553
74,margate,51.3813,1.3862,17.71,71,46,1.79,GB,1693164554
75,waitangi,-43.9535,-176.5597,6.57,96,100,0.45,NZ,1693164554
76,hermanus,-34.4187,19.2345,13.78,76,0,3.5,ZA,1693164554
77,kingston,17.997,-76.7936,31.25,78,40,4.12,JM,1693164554
78,thompson,55.7435,-97.8558,14.09,77,100,5.14,CA,1693164371
79,wailua homesteads,22.0669,-159.378,27.44,79,40,5.14,US,1693164554
80,hawaiian paradise park,19.5933,-154.9731,27.07,73,20,1.54,US,1693164554
81,quincy,42.2529,-71.0023,26.0,75,40,6.17,US,1693164413
82,hanceville,34.0607,-86.7675,34.17,49,91,0.67,US,1693164555
83,ilhabela,-23.7781,-45.3581,16.38,88,100,2.7,BR,1693164555
84,punta arenas,-53.15,-70.9167,5.41,84,100,2.15,CL,1693164426
85,khandyga,62.6667,135.6,9.63,93,12,1.48,RU,1693164555
86,lincheng,19.9078,109.6858,27.97,83,100,1.27,CN,1693164555
87,mpika,-11.8343,31.4529,21.13,38,7,5.4,ZM,1693164555
88,college,64.8569,-147.8028,17.26,77,75,0.0,US,1693164494
89,adamstown,-25.066,-130.1015,19.75,78,87,7.66,PN,1693164556
90,udachny,66.4167,112.4,16.92,51,8,2.49,RU,1693164556
91,gadzhiyevo,69.2551,33.3362,9.57,83,100,2.41,RU,1693164556
92,cafayate,-26.073,-65.9761,16.7,31,0,5.33,AR,1693164556
93,murun-kuren,49.6342,100.1625,13.57,79,7,0.28,MN,1693164556
94,koundara,12.4833,-13.3,26.55,92,100,2.33,GN,1693164556
95,belmonte,-15.8631,-38.8828,25.47,83,78,2.02,BR,1693164557
96,albertina,-22.2008,-46.6158,13.03,95,99,1.74,BR,1693164557
97,west island,-12.1568,96.8225,24.99,78,40,6.69,CC,1693164557
98,xilin hot,43.9667,116.0333,11.8,67,4,2.96,CN,1693164557
99,ankang,32.68,109.0172,18.97,94,75,0.19,CN,1693164467
100,lebu,-37.6167,-73.65,13.45,60,88,5.21,CL,1693164558
101,bilibino,68.0546,166.4372,6.81,93,100,1.57,RU,1693164558
102,fort st. john,56.2499,-120.8529,22.94,46,0,5.14,CA,1693164558
103,prince rupert,54.3161,-130.3201,18.05,89,0,2.06,CA,1693164544
104,usinsk,65.9939,57.5281,7.0,97,100,1.79,RU,1693164558
105,katsuura,35.1333,140.3,25.51,85,100,3.94,JP,1693164559
106,stanley,54.868,-1.6985,14.33,93,75,2.06,GB,1693164559
107,brokopondo,4.75,-55.1667,34.03,43,5,0.98,SR,1693164559
108,alaghsas,17.0187,8.0168,34.82,35,83,6.68,NE,1693164559
109,tocopilla,-22.092,-70.1979,21.83,62,25,3.8,CL,1693164559
110,kone,-21.0595,164.8658,15.8,84,99,1.79,NC,1693164559
111,vilyuchinsk,52.9306,158.4028,10.15,76,100,2.91,RU,1693164560
112,itoman,26.1247,127.6694,28.01,83,0,1.54,JP,1693164560
113,luderitz,-26.6481,15.1594,23.42,20,0,6.99,NA,1693164560
114,almus,40.3758,36.9044,16.51,90,0,1.65,TR,1693164560
115,usogorsk,63.4106,48.6872,6.83,94,100,2.37,RU,1693164561
116,concepcion del oro,24.6333,-101.4167,23.65,38,88,2.87,MX,1693164561
117,alofi,-19.0595,-169.9187,21.94,68,100,5.14,NU,1693164561
118,tiksi,71.6872,128.8694,13.66,72,0,5.34,RU,1693164561
119,vernon,50.2581,-119.2691,27.64,34,0,1.54,CA,1693164431
120,hilo,19.7297,-155.09,27.19,68,20,1.54,US,1693164561
121,remire-montjoly,4.9167,-52.2667,33.02,58,0,5.14,GF,1693164561
122,kiunga,-6.1219,141.2906,22.1,96,100,1.68,PG,1693164562
123,el calafate,-50.3408,-72.2768,4.53,95,100,0.29,AR,1693164562
124,richards bay,-28.783,32.0377,15.53,78,0,1.66,ZA,1693164562
125,bardai,11.65,7.2333,21.34,82,92,1.74,NG,1693164562
126,qaqortoq,60.7167,-46.0333,9.78,55,100,1.95,GL,1693164562
127,luganville,-15.5333,167.1667,22.77,77,100,3.49,VU,1693164562
128,papatowai,-46.5619,169.4708,2.36,84,32,4.86,NZ,1693164562
129,tidjikja,18.5564,-11.4271,38.97,15,99,4.89,MR,1693164563
130,melekeok village,7.4957,134.6367,28.31,83,75,4.63,PW,1693164563
131,canchungo,12.0672,-16.0333,29.07,80,100,2.83,GW,1693164563
132,morwell,-38.2333,146.4,8.56,99,79,1.4,AU,1693164563
133,santa terezinha,-29.9002,-50.0904,13.23,52,5,5.78,BR,1693164563
134,ust-nera,64.5667,143.2,9.3,92,97,1.01,RU,1693164563
135,makoua,0.0069,15.6333,24.42,78,100,1.85,CG,1693164563
136,fale old settlement,-9.3852,-171.2468,27.99,71,100,6.21,TK,1693164397
137,bandarbeyla,9.4942,50.8122,26.11,76,100,14.26,SO,1693164564
138,airdrie,55.866,-3.9803,15.31,78,100,2.54,GB,1693164564
139,nova sintra,14.8667,-24.7167,25.16,75,19,2.43,CV,1693164564
140,sao gabriel da cachoeira,-0.1303,-67.0892,34.89,49,20,2.57,BR,1693164564
141,thunder bay,48.4001,-89.3168,19.95,64,75,4.63,CA,1693164564
142,ghadamis,30.1337,9.5007,32.65,28,57,6.58,LY,1693164564
143,cangucu,-31.395,-52.6756,12.56,50,6,3.25,BR,1693164565
144,ca mau,9.1769,105.15,26.73,82,100,2.39,VN,1693164565
145,port lincoln,-34.7333,135.8667,12.03,78,98,3.58,AU,1693164565
146,klyuchi,52.2667,79.1667,17.09,78,79,1.56,RU,1693164565
147,rio grande,-32.035,-52.0986,15.06,52,2,5.75,BR,1693164565
148,iqaluit,63.7506,-68.5145,8.85,46,20,8.23,CA,1693164566
149,kalamb,19.05,73.95,21.62,89,62,3.12,IN,1693164566
150,georgetown,5.4112,100.3354,26.97,89,20,1.54,MY,1693164566
151,touros,-5.1989,-35.4608,27.8,69,0,5.26,BR,1693164566
152,carupano,10.6678,-63.2585,33.0,58,34,4.71,VE,1693164566
153,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,93,0,4.0,RU,1693164567
154,codrington,-38.2667,141.9667,8.52,91,17,1.6,AU,1693164567
155,kerikeri,-35.2268,173.9474,8.84,93,84,1.68,NZ,1693164567
156,dolores,-36.3132,-57.6792,12.86,39,5,1.72,AR,1693164567
157,khadan khak,30.7477,67.7085,23.03,18,0,4.81,PK,1693164567
158,cabo san lucas,22.8909,-109.9124,33.67,62,0,7.2,MX,1693164364
159,howrah,22.5892,88.3103,30.0,84,40,3.6,IN,1693164567
160,monrovia,6.3005,-10.7969,24.87,87,100,4.89,LR,1693164568
161,saynshand,44.8824,110.1163,17.72,52,1,3.84,MN,1693164568
162,nemuro,43.3236,145.575,19.0,100,100,2.3,JP,1693164568
163,kihoku-cho,33.2559,132.6834,22.47,94,3,1.7,JP,1693164568
164,san matias,-16.3667,-58.4,35.78,23,0,1.28,BO,1693164569
